IQA,Accuracy,Count,Num_Accs
0.05,0.9,30,27
0.06,0.9672131147540983,61,59
0.07,1.0,23,23
0.08,1.0,30,30
0.09,0.9655172413793104,29,28
0.1,0.9743589743589743,39,38
0.11,1.0,66,66
0.12,0.9354838709677419,62,58
0.13,0.9444444444444444,36,34
0.14,1.0,21,21
0.15,1.0,44,44
0.16,0.8679245283018868,53,46
0.17,1.0,18,18
0.18,0.95,80,76
0.19,1.0,32,32
0.2,0.9545454545454546,44,42
0.21,0.9852941176470589,68,67
0.22,0.9859154929577465,71,70
0.23,1.0,24,24
0.24,1.0,33,33
0.25,0.9148936170212766,47,43
0.26,0.9722222222222222,72,70
0.27,0.9759036144578314,83,81
0.28,0.8484848484848485,66,56
0.29,0.9666666666666667,60,58
0.3,0.8666666666666667,90,78
0.31,1.0,45,45
0.32,0.9512195121951219,82,78
0.33,1.0,30,30
0.34,0.9166666666666666,48,44
0.35,0.9883720930232558,86,85
0.36,0.9285714285714286,42,39
0.37,1.0,34,34
0.38,0.8260869565217391,23,19
0.39,0.9444444444444444,36,34
0.4,0.9574468085106383,47,45
0.41,0.8095238095238095,21,17
0.42,0.9803921568627451,51,50
0.43,1.0,45,45
0.44,1.0,20,20
0.45,0.9615384615384616,26,25
0.46,1.0,45,45
0.47,1.0,39,39
0.48,0.9166666666666666,36,33
0.49,0.9696969696969697,33,32
0.5,0.9361702127659575,47,44
0.51,0.9333333333333333,30,28
0.52,1.0,17,17
0.53,0.9285714285714286,14,13
0.54,0.896551724137931,29,26
0.55,1.0,12,12
0.56,0.8333333333333334,30,25
0.57,0.9655172413793104,29,28
0.58,0.7777777777777778,18,14
0.59,0.8666666666666667,15,13
0.6,0.8222222222222222,45,37
0.61,1.0,12,12
0.62,0.7619047619047619,21,16
0.63,0.8333333333333334,12,10
0.65,0.8095238095238095,21,17
0.67,1.0,12,12
0.69,0.9444444444444444,18,17
0.7,0.9,30,27
0.71,0.8518518518518519,27,23
0.73,0.8333333333333334,18,15
0.77,1.0,11,11
0.79,1.0,14,14
0.86,1.0,18,18
0.88,1.0,17,17
