IQA,Preserved,Count,Num_Pre
0.02,1.0,31,31
0.03,0.975,40,39
0.04,1.0,54,54
0.05,1.0,45,45
0.06,1.0,45,45
0.07,0.9814814814814815,54,53
0.08,0.95,40,38
0.09,1.0,31,31
0.1,0.9555555555555556,45,43
0.11,0.95,40,38
0.12,0.9545454545454546,22,21
0.13,0.95,40,38
0.14,0.9545454545454546,22,21
0.15,1.0,63,63
0.16,0.9259259259259259,27,25
0.17,0.967741935483871,31,30
0.19,1.0,40,40
0.2,1.0,54,54
0.21,1.0,40,40
0.22,0.8333333333333334,18,15
0.23,0.9583333333333334,72,69
0.24,0.9230769230769231,13,12
0.25,1.0,27,27
0.27,0.875,40,35
0.28,1.0,40,40
0.29,1.0,22,22
0.3,1.0,22,22
0.31,0.9591836734693877,49,47
0.32,0.9850746268656716,67,66
0.33,1.0,18,18
0.34,0.7586206896551724,58,44
0.35,0.9629629629629629,27,26
0.36,0.9545454545454546,22,21
0.38,1.0,27,27
0.39,1.0,27,27
0.4,1.0,36,36
0.41,0.9591836734693877,49,47
0.42,0.975,40,39
0.43,1.0,13,13
0.44,1.0,18,18
0.45,1.0,13,13
0.46,0.9166666666666666,36,33
0.47,0.95,40,38
0.48,1.0,18,18
0.49,0.967741935483871,31,30
0.5,1.0,22,22
0.51,0.7692307692307693,13,10
0.52,0.8888888888888888,18,16
0.53,1.0,18,18
0.54,1.0,76,76
0.55,1.0,18,18
0.57,0.9230769230769231,13,12
0.58,1.0,18,18
0.6,1.0,54,54
0.61,0.8979591836734694,49,44
0.62,0.8461538461538461,13,11
0.63,1.0,36,36
0.64,0.9090909090909091,22,20
0.66,0.9666666666666667,30,29
0.67,1.0,18,18
0.68,0.9230769230769231,13,12
0.71,0.9090909090909091,22,20
0.73,0.9230769230769231,13,12
0.76,1.0,18,18
0.78,0.7272727272727273,22,16
0.79,0.8888888888888888,18,16
0.82,0.7692307692307693,13,10
0.84,0.7777777777777778,18,14
0.86,0.8636363636363636,22,19
0.87,0.7407407407407407,27,20
0.88,0.9444444444444444,18,17
0.9,0.8461538461538461,13,11
0.92,0.7727272727272727,22,17
0.96,1.0,22,22
0.98,0.4444444444444444,18,8
0.99,1.0,18,18
